"effect","group","term","estimate","std.error","statistic","dataset_num","effect_size"
"fixed",NA,"(Intercept)",12.430670514715,0.466683794607976,26.6361734826403,1,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.90378988642231,0.351934140592066,-5.409506117308,1,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.705746600598849,0.353742289979957,-1.99508687705628,1,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.479318174670875,0.933262426728601,-0.51359420559879,1,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.258307976962599,0.357605144383081,-0.722327351884763,1,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.22969883780835,0.365900363482138,-14.2926855498017,1,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",1.60866062510017,0.602565196731565,2.6696872534721,1,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",1.38243818424158,0.696781338513263,1.98403445647859,1,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-2.16258584845092,0.680976448120773,-3.17571313137012,1,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.22247446581812,0.90981068503353,6.83930686699816,1,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.6519920991038,0.48145857673257,26.2784644630631,2,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.99230304108795,0.362133496607198,-5.50157071840548,2,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.890854489383517,0.35829227058183,-2.48639047651477,2,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.367056390766404,0.92294105914613,-0.397702959608267,2,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.210450497562855,0.389136387269835,-0.540814234925105,2,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.50021084425637,0.405693974749332,-13.5575364353262,2,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.460453370108714,0.604038911153024,0.762290908096921,2,"effect_1_detail_100_subs"
