participant_id,event,time,condition,title,artist,trial,session,music_evoked_affect,mem_positive,mem_vivid,spont_memory,mem_coincidence,artist_exposure_rating,familiarity,childhood_exposure,adolescence_exposure,young_adult_exposure,adult_present_exposure,clip_liking,uri
62,Your first formal job interview,adult,C,14,no music,3,2,4,4,5,y,3,NA,NA,NA,NA,NA,NA,NA,NA
62,A big accomplishment at work in your 20's,adult,C,9,no music,4,2,4,7,4,y,3,NA,NA,NA,NA,NA,NA,NA,NA
62,A time cooking in your 20's,adult,C,12,no music,5,2,5,6,7,y,2,NA,NA,NA,NA,NA,NA,NA,NA
62,A time when you played make-believe,child,C,10,no music,6,2,3,5,4,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,A time when you watched a movie/tv show with family as a child,child,C,8,no music,7,2,5,4,4,y,3,NA,NA,NA,NA,NA,NA,NA,NA
62,A snow-day (or other weather-related cancellation) in elementary school,child,C,5,no music,8,2,4,5,6,y,3,NA,NA,NA,NA,NA,NA,NA,NA
62,Your first religious ceremony,child,C,11,no music,9,2,7,3,5,y,1,NA,NA,NA,NA,NA,NA,NA,NA
62,Birth or adoption of your younger sibling,child,C,7,no music,10,2,4,7,3,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,A slumber party in junior/high school,adol,C,15,no music,11,2,2,6,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,A friend's birthday party in high school,adol,C,6,no music,12,2,5,6,5,y,2,NA,NA,NA,NA,NA,NA,NA,NA
62,First time you taught someone younger than you how to do something,adol,C,3,no music,13,2,2,5,4,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,A time breaking the rules of your parents as a teen,adol,C,13,no music,14,2,2,1,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Going to prom or homecoming dance,adol,C,1,no music,15,2,6,3,6,y,2,NA,NA,NA,NA,NA,NA,NA,NA
62,Your first day at a job after college/high school,adult,U,Speak To Me,The Relatives,1,3,3,7,7,y,4,NA,1,1,1,1,1,1,NA
62,A wedding you attended in your 20's,adult,U,Tryin',Eli Paperboy Reed,2,3,5,6,5,n,NA,NA,3,1,1,3,2,4,NA
62,A day when you helped a friend move residence,adult,U,My Best Year,The Solids,3,3,4,4,3,y,1,NA,2,1,1,1,2,3,NA
62,A career advancement or promotion in your 20's,adult,U,Take Me Home,Jose James,4,3,4,6,5,y,2,NA,2,1,1,1,1,3,NA
62,A memorable date in your 20's,adult,U,Baby Don't Cry,Jose James,5,3,2,2,7,y,2,NA,1,1,1,1,1,3,NA
62,A friend's birthday party in elementary school,child,U,Said She Would,Eli Paperboy Reed,6,3,3,1,5,y,1,NA,2,1,2,1,1,2,NA
62,Getting your first childhood pet,child,U,Mm-Hmm,The James Hunter Six,7,3,5,4,4,y,1,NA,1,1,1,1,1,2,NA
62,A memorable playdate with a childhood friend,child,U,Boy Don't Be Afraid,79.5,8,3,3,5,5,y,2,NA,1,1,1,1,1,2,NA
62,A moment when you played dolls/toys with a friend,child,U,I Don't Understand It,Darondo,9,3,2,4,4,y,1,NA,1,1,1,1,1,1,NA
62,A time playing an outdoor game during childhood,child,U,Packin' Up,Darondo,10,3,1,5,5,y,1,NA,1,1,1,1,1,1,NA
62,A halloween during high school,adol,U,Be Thou By My Side,Holy Hive,11,3,5,5,4,y,2,NA,2,1,1,1,1,4,NA
62,A time working on a junior/ high school art or science project,adol,U,Hold You Back,JC Brooks & The Uptown Sound,12,3,4,4,4,n,NA,NA,1,1,1,1,1,5,NA
62,A moment you acted on a first crush as a teen,adol,U,99 Cent Dreams,Eli Paperboy Reed,13,3,6,2,5,y,1,NA,1,1,1,1,1,4,NA
62,A time when you drank with friends in junior/high school,adol,U,Highway Song,Patty Griffin,14,3,2,3,5,n,NA,NA,1,1,1,1,1,3,NA
62,A time giving a presentation in junior/high school,adol,U,Summer Breeze,The Sha La Das,15,3,5,6,4,y,2,NA,1,1,1,1,1,1,NA
63,An activity you did in elementary school,child,F,Don't Let The Stars Get In Your Eyes,Perry Como,1,1,5,4,7,y,2,5,5,3,1,1,1,1,spotify:track:0aRO8owjwQbcVRLfL3zR0U
63,Birth or adoption of your younger sibling,child,F,"Oh, Mein Papa",Eddie Fisher,2,1,7,0,0,y,0,5,5,3,1,1,1,2,spotify:track:0EIEvpiVxoXEn5GZWvG1RT
63,A celebration of your own birthday during childhood,child,F,(We're Gonna) Rock Around The Clock,Bill Haley,3,1,7,2,4,y,3,5,5,1,4,1,1,3,spotify:track:1uRKT2LRANv4baowBWHfDS
63,Getting your first childhood pet,child,F,Don't Be Cruel,Elvis Presley,4,1,3,4,5,y,1,5,5,1,3,1,1,2,spotify:track:4zzXm1QJQXWLyUfFhWZBRg
63,A memorable playdate with a childhood friend,child,F,Ricochet,Teresa Brewer,5,1,1,7,7,n,NA,5,3,3,1,1,1,1,spotify:track:3N36r5y4bP9kpUNw43RkPy
63,A career advancement or promotion in your 20's,adult,F,Bridge Over Troubled Water,Simon & Garfunkel,6,1,5,7,7,y,3,5,5,1,3,2,1,5,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
63,A halloween in your 20's,adult,F,Aquarius / Let the Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,7,1,7,4,7,y,1,5,5,1,1,5,1,5,spotify:track:0HZlND4giwzgolBpaNIRGV
63,A sporting event or concert in your 20's,adult,F,Joy To The World,Three Dog Night,8,1,2,2,7,n,NA,5,5,1,1,4,1,5,spotify:track:1Sqcqzfgv5oB2nPcVGw6cp
63,Proposing to/being proposed to by your partner,adult,F,Hey Jude - Remastered 2009,The Beatles,9,1,7,7,6,y,3,5,5,1,4,3,1,4,spotify:track:3m7V717IKZqZLW5qUIOxdD
63,Your first day at a job after college/high school,adult,F,(They Long To Be) Close To You,The Carpenters,10,1,1,2,7,y,1,5,5,1,1,1,1,1,spotify:track:2kyVQg00pphEufGT59M2XH
63,Going to a wedding as a teenager,adol,F,I Want To Hold Your Hand - Remastered 2009,The Beatles,11,1,7,6,7,y,3,5,5,1,4,3,1,5,spotify:track:5Qe7NHxeLAn8KoLTNLSdwe
63,A moment with your high school girlfriend/boyfriend,adol,F,Surfin' U.S.A. - Remastered,The Beach Boys,12,1,7,6,7,y,3,5,5,1,4,1,1,2,spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b
63,First time you taught someone younger than you how to do something,adol,F,I Can't Stop Loving You,Ray Charles,13,1,7,7,7,y,3,5,5,1,3,2,2,4,spotify:track:0lKNhJylqHrHdQBzmFN73Y
63,A time you did a specific chore for your parents,adol,F,Crying,Roy Orbison,14,1,7,3,7,y,3,5,5,1,5,1,1,5,spotify:track:6eLL7QTdMWdhhG4i3jHDR9
63,A time trying cigarettes or drugs in high school,adol,F,Roses Are Red (My Love) - Single Version,Bobby Vinton,15,1,1,6,6,y,3,5,5,2,1,1,1,2,spotify:track:0qYok0f8O5DE8yJSo146dn
63,A time with a babysitter you had during childhood,child,U,Said She Would,Eli Paperboy Reed,1,2,6,0,0,n,NA,NA,3,1,1,1,1,1,NA
63,A time picking out a favorite piece of clothing/shoes as a child,child,U,Be Thou By My Side,Holy Hive,2,2,5,6,7,n,NA,NA,1,1,1,1,1,2,NA
63,A time playing an outdoor game during childhood,child,U,Let Me Be Your Lovemaker,Humble Pie,3,2,7,6,7,n,NA,NA,1,1,1,1,1,3,NA
63,A moment when you played dolls/toys with a friend,child,U,Charlie Love,The Sweet Vandals,4,2,4,6,7,n,NA,NA,1,1,1,1,1,3,NA
63,A time playing a game with a sibling in childhood,child,U,Ghosts in the Walls,Tommy Allen,5,2,2,3,7,n,NA,NA,1,1,1,1,1,3,NA
63,The day when you/your partner found out you were going to have a child,adult,U,Packin' Up,Darondo,6,2,6,0,0,n,NA,NA,1,1,1,1,1,5,NA
63,A memorable date in your 20's,adult,U,Baby Don't Cry,Jose James,7,2,2,1,7,n,NA,NA,1,1,1,1,1,1,NA
63,A memorable party in your 20's,adult,U,My Best Year,The Solids,8,2,2,1,7,n,NA,NA,1,1,1,1,1,2,NA
63,A moment with your best friend in your 20's,adult,U,Highway Song,Patty Griffin,9,2,1,7,7,n,NA,NA,1,1,1,1,1,3,NA
63,A wedding you attended in your 20's,adult,U,Bummer,Tino Drima,10,2,1,0,0,n,NA,NA,1,1,1,1,1,2,NA
63,A time breaking the rules of your parents as a teen,adol,U,If You Remember,Night Shop,11,2,2,3,7,n,NA,NA,1,1,1,1,1,1,NA
